name,desc,vibes
Boho Dress,Flowy midi dress in earthy tones with tassels and floral prints. Great for festivals and beach days.,"['boho', 'earthy', 'festival']"
Urban Bomber Jacket,"Matte black bomber with ribbed cuffs, minimal branding, and city-ready silhouette.","['urban', 'minimal', 'streetwear']"
Cozy Knit Sweater,Soft oversized sweater in warm neutrals for laid-back weekends and cafe hangs.,"['cozy', 'casual', 'warm']"
Athleisure Joggers,Stretchy tapered joggers with breathable fabric for gym-to-street comfort.,"['sporty', 'athleisure', 'comfort']"
Vintage Denim Jacket,Faded blue denim with distressed details and timeless retro feel.,"['vintage', 'retro', 'casual']"
Chic Blazer,Structured blazer with sharp lines for polished looks and smart urban style.,"['chic', 'smart', 'urban']"
Festival Kimono,Lightweight printed kimono with bohemian patterns and airy fit.,"['boho', 'festival', 'flowy']"
Monochrome Sneakers,Clean white low-top sneakers with crisp lines for everyday city outfits.,"['urban', 'minimal', 'clean']"
Street Graphic Tee,Bold graphic t-shirt with high-contrast artwork and edgy attitude.,"['streetwear', 'bold', 'youthful']"
Elegant Slip Dress,Satin slip dress with sleek silhouette for evening events and refined looks.,"['elegant', 'chic', 'evening']"
